latitude,longitude,name,url,postcode,Registered_accounts_type,subactivity
53.78918,-1.56664,BARTUF EUROPE LIMITED,www.bartuf.co.uk,LS11 9RU,Total Exemption Small,Other plastic
53.70826,-1.90887,DUGDALE LIMITED,www.dugdalepvc.com,HX6 2AA,Full accounts,Plastics in primary forms
53.63809,-1.83759,LEXCAST LIMITED,www.lexcast.co.uk,HD3 4QG,Small company,Other plastic
54.66188,-1.44849,LINPAC PACKAGING LIMITED,www.linpacpackaging.com,TS21 3EE,Full accounts,Plastic packing goods
53.72967,-1.71528,COUNTRYWIDE GROUNDS WEST YORKSHIRE LIMITED,,BD19 4EZ,Total Exemption Small,"Hunting, trapping, related activities"
53.6746,-1.86083,CARPENTER LIMITED,www.carpenter.ltd.uk,HX4 9BL,Full accounts,Other plastic
53.66762,-1.20165,COUNTRYWIDE GROUNDS WEST YORKSHIRE LIMITED,,DN6 9AY,Total Exemption Small,"Hunting, trapping, related activities"
53.86675,-1.89376,AMMERAAL BELTECH LIMITED,www.ammeraalbeltech.com,BD21 4PL,Full accounts,Other plastic
53.64868,-1.73283,FORTEQ (UK) LIMITED,www.forteq-group.com,HD5 0QR,Full accounts,Other plastic
53.63339,-1.79169,THE LOCKWOOD WINDOW COMPANY LIMITED,www.lockwoodwindows.co.uk,HD4 6BW,Total Exemption Small,Other plastic
53.84536,-1.4383,BARTUF LIMITED,www.bartuf.co.uk,LS14 3DN,Total Exemption Small,Other plastic
53.99223,-0.91878,ROSTI AUTOMOTIVE LARKHALL LTD.,www.rosti.com,YO41 1AL,Full accounts,Other plastic
53.72624,-1.36665,CUSTOMPAC LIMITED,www.custompac.co.uk,WF10 1PA,Total Exemption Small,Plastic packing goods
53.72296,-1.68852,AK PRODUCTS LIMITED,,BD19 4HZ,Total Exemption Small,Other plastic
53.7837,-1.51347,ZENITH PLASTIC DEVELOPMENTS LIMITED,www.zenithplastics.co.uk,LS9 0PF,Total Exemption Small,Other plastic
53.74193,-0.73121,TRU GROUP LIMITED,www.trugroup.co.uk,HU15 2TB,Total Exemption Small,Other plastic
54.08348,-0.89646,SPORTSELECT LIMITED,,YO60 7JJ,Total Exemption Small,"Hunting, trapping, related activities"
53.89552,-0.533,SCORBOROUGH SPORTING LIMITED,,HU17 7PN,Total Exemption Small,"Hunting, trapping, related activities"
54.0028,-1.5022,TROPHY CATZ LTD,,HG1 4QJ,Micro-entity accounts,Other plastic
53.98622,-1.10025,NUPLAS LIMITED,www.nuplas.eu,YO30 4XG,Total Exemption Small,Other plastic
53.48535,-1.17967,POLYPIPE LIMITED,www.polypipe.com,DN12 1ES,Full accounts,Plastics in primary forms
53.65509,-1.48907,ATACK LTD.,www.atack.ltd.uk,WF2 7HY,Total Exemption Small,Other plastic
53.679401,-1.500734,LEEWAYS PACKAGING SERVICES LIMITED,www.leeways.co.uk,WF1 5PF,Full accounts,Plastic packing goods
53.72793,-0.41103,DELIVERANCE BAIT BOATS LIMITED,,HU4 7AP,Total Exemption Small,Other plastic
53.76947,-1.54541,SCOTT BADER COMPANY LIMITED,www.scottbader.com,LS11 5UU,Group,Plastics in primary forms
54.13473,-1.40356,VULCAN UK LIMITED,www.vulcanrubber.co.uk,YO7 3DH,Total Exemption Small,Other rubber
53.75386,-0.33482,THE BELT COMPANY LIMITED,www.thebeltcompany.co.uk,HU2 0PJ,Total Exemption Small,Other rubber
53.77615,-0.33642,J.K.N. POLYMERS LIMITED,www.jknpolymersltd.co.uk,HU7 0YW,Total Exemption Small,Other plastic
53.83203,-1.6383,PETER PERKS LIMITED,www.peterperksltd.com,LS18 4NW,Total Exemption Small,"Plastic plates, sheets, tubes etc"
53.63937,-1.33814,MARK B HEWITT LIMITED,www.thirstymilo.co.uk,WF7 7DW,Total Exemption Small,Other plastic
53.80569,-1.66581,TAYLOR'S BLOODSTOCK LTD,,LS28 6ER,Micro-entity accounts,"Hunting, trapping, related activities"
54.52637,-1.54979,PLASSES LTD,,DL1 1GB,Total Exemption Full,Other plastic
54.575852,-1.244942,DUPONT TEIJIN FILMS U.K. LIMITED,www.dupontteijinfilms.com,TS90 8JF,Full accounts,Plastic packing goods
54.52518,-1.56186,TEES VALLEY PLASTICS LIMITED,,DL3 7SD,Not Available,Other plastic
53.82476,-1.3434,KENT GROUNDCARE LIMITED,,LS25 3DE,Micro-entity accounts,"Hunting, trapping, related activities"
53.75794,-0.32872,QUADLINKS LIMITED,,HU8 8BQ,Total Exemption Small,Other plastic
53.84398,-1.62939,ALKON SOLUTIONS LTD,,LS18 5PU,Not Available,Synthetic rubber in primary forms
53.75318,-1.60572,COVERTECH LIMITED,,LS27 9PR,Total Exemption Small,Other plastic
53.83409,-0.68849,L & S CRAVEN & SONS LIMITED,,YO43 4LD,Total Exemption Small,"Hunting, trapping, related activities"
53.77983,-1.61304,SPECIALIST HOSE SUPPLIES LIMITED,www.hosessuppliersyorkshire.co.uk,LS12 5JB,Total Exemption Small,Other plastic
53.81492,-1.72099,GRAHAM PACKAGING PLASTICS LIMITED,www.gpceurope.eu,BD2 3RJ,Full accounts,Plastic packing goods
53.67842,-1.83297,A-SAFE SOLUTIONS UK LTD,,HX5 9JP,Not Available,Other plastic
54.49633,-1.13118,KLIPEEZE LIMITED,,TS9 6DL,Total Exemption Small,Other plastic
53.79893,-1.76745,GIRLINGTON GLASS + JOINERY LTD,www.girlingtonglass.com,BD8 8RY,Total Exemption Small,Other plastic
53.71944,-0.45881,HALLITE POLYTEK LIMITED,www.hallite.com,HU13 0PW,Total Exemption Small,Plastics in primary forms
53.72893,-1.80573,KEDEL LIMITED,www.kedel.co.uk,HX3 8NS,Total Exemption Small,"Plastic plates, sheets, tubes etc"
53.74388,-0.3353,UK LEISURE AND TRADE SUPPLIES LIMITED,,HU1 2AS,Not Available,Other plastic
53.64725,-1.52423,SAFETYSHIELDPRODUCTS LTD,www.safetyshieldproducts.co.uk,WF4 3BY,Total Exemption Small,Other plastic
