latitude,longitude,name,url,postcode,Registered_accounts_type,subactivity
53.67752,-1.48963,GRAD SPECIALITY PRODUCTS LTD,,WF1 5PE,Total Exemption Small,Other chemical products nec
53.92578,-0.80298,FLOCHEM LIMITED,,YO42 1NP,Total Exemption Small,Other chemical products nec
53.85169,-1.53836,TRITON CHEMICAL MANUFACTURING CO. LIMITED,www.tritonsystems.co.uk,LS17 7HN,Total Exemption Small,Other chemical products nec
53.64548,-1.78505,FUEL PERFORMANCE SOLUTIONS LIMITED,,HD1 2EX,Not Available,Other chemical products nec
54.65319,-1.20695,EXWOLD TECHNOLOGY LIMITED,www.exwold.com,TS25 2BW,Full accounts,Other chemical products nec
53.75143,-1.75599,BASF PUBLIC LIMITED COMPANY,www.master-builders-solutions.basf.co.uk,BD12 0JZ,Full accounts,Other organic basic chemicals
53.67768,-1.66286,CALDER OILS LIMITED,www.calder-oils.co.uk,WF13 3JX,Micro-entity accounts,Refined petroleum products
53.72582,-1.84893,AQUASPERSIONS LIMITED,www.aquaspersions.co.uk,HX3 6AQ,Full accounts,Other chemical products nec
54.57651,-1.10056,APPLIED GRAPHENE MATERIALS PLC,http://www.appliedgraphenematerials.com/,TS10 4RF,Group,Other inorganic basic chemicals
54.57622,-1.12976,NALCO LIMITED,www.nalco.com,TS6 8JH,Full accounts,Other inorganic basic chemicals
53.744072,-0.326561,"T.J.SMITH AND NEPHEW,LIMITED",www.smith-nephew.com,HU3 2BN,Full accounts,Other chemical products nec
53.64548,-1.78505,ENVIRONMENTAL FUEL TECHNOLOGY LTD,,HD1 2EX,Total Exemption Small,Other chemical products nec
53.72096,-0.46246,VIVERGO FUELS LIMITED,www.vivergofuels.com,HU13 0JA,Full accounts,Other chemical products nec
53.72976,-1.84904,SALUS74 LIMITED,,HX3 6AS,Not Available,Refined petroleum products
53.80171,-1.53792,GRANVILLE OIL & CHEMICALS LIMITED,www.granvilleoil.com,LS2 7PN,Medium Company,Refined petroleum products
53.66944,-1.94734,PSK MARKETING LIMITED,www.pskmarketing.co.uk,HX6 4FF,Total Exemption Small,Other chemical products nec
53.60794,-0.67439,INTERLOCK ADHESIVES LIMITED,www.interlock-adhesives.co.uk,DN15 8NJ,Total Exemption Small,Glues
53.75827,-1.87218,COLOURCO LIMITED,www.colourco.co.uk,HX2 9TN,Total Exemption Small,Other chemical products nec
53.51064,-1.11987,ENVIRONMENTAL SPECIALITY CHEMICALS LIMITED,www.escglobal.co.uk,DN4 5NP,Total Exemption Small,Other chemical products nec
54.52588,-1.25665,HEMLINGTON ENGINEERING SERVICES LIMITED,,TS8 9NQ,Total Exemption Small,Other chemical products nec
53.75064,-0.32154,AIR PRODUCTS PUBLIC LIMITED COMPANY,www.airproducts.com,HU8 7LL,Full accounts,Industrial gases
54.60309,-1.2706,BLYCHEM LIMITED,www.blychem.com,TS23 4AZ,Total Exemption Small,Other chemical products nec
53.77979,-1.50256,EVERBUILD BUILDING PRODUCTS LIMITED,www.everbuild.co.uk,LS9 0SW,Full accounts,Other chemical products nec
53.73885,-1.72089,OREAN PERSONAL CARE LIMITED,www.ore-an.co.uk,BD19 4TT,,Other chemical products nec
53.63065,-0.19358,PRAXAIR GASES UK LTD,,DN40 2NT,Not Available,Other inorganic basic chemicals
54.63579,-1.32896,HUNTSMAN PIGMENTS (UK) LIMITED,www.huntsman.com,TS22 5FD,Full accounts,Other chemical products nec
54.587035,-1.268735,HUNTSMAN POLYURETHANES (UK) LIMITED,www.huntsman.com,TS23 1PS,Full accounts,Other chemical products nec
53.89651,-1.53317,BASILDON CHEMICAL CO. LIMITED,www.baschem.co.uk,LS17 9LF,Group,Other chemical products nec
53.55655,-0.51534,KEMIN (U.K.) LIMITED,,DN20 9LG,Full accounts,Other inorganic basic chemicals
54.34828,-1.44981,HS-SILVER LTD,,DL6 2BF,Total Exemption Small,Other chemical products nec
53.67816,-1.66423,DIXON CHEW (BATLEY) LIMITED,www.dixonchew.co.uk,WF13 3LA,Total Exemption Small,Other organic basic chemicals
53.68003,-1.76237,KLUBER LUBRICATION GREAT BRITAIN LIMITED,www.klueber.com,HD2 1GQ,Full accounts,Other chemical products nec
53.65394,-1.52078,EAST COAST CHEMICALS LIMITED,,WF2 7AR,Not Available,Other chemical products nec
54.6183,-1.29789,LEAGUESMART LIMITED,,TS23 2TW,Total Exemption Small,Refined petroleum products
54.57651,-1.10056,SABIC UK PETROCHEMICALS LIMITED,www.sabic-europe.com,TS10 4RF,Full accounts,Other organic basic chemicals
53.68172,-1.62304,ENSCO 774 LIMITED,www.healy-group.com,WF12 9BQ,Full accounts,Other chemical products nec
54.60938,-1.58644,INEOS COMPOUNDS AYCLIFFE LIMITED,www.ineos.com,DL5 6EA,Full accounts,Other inorganic basic chemicals
53.68929,-1.50436,SOLVAY INTEROX LIMITED,www.solvay.us,WF1 3QH,Full accounts,Other inorganic basic chemicals
53.6952,-1.78522,MILLERS OILS LIMITED,www.millersoils.co.uk,HD6 3DP,Full accounts,Refined petroleum products
54.61059,-1.18009,VERTELLUS SPECIALTIES UK LIMITED,www.vertellus.com,TS2 1UB,Full accounts,Other inorganic basic chemicals
53.62005,-0.9563,ZETAPRO LIMITED,www.zetapro.co.uk,DN8 4HU,Total Exemption Small,Other chemical products nec
54.59137,-1.08906,HUNTSMAN POLYURETHANES (UK) LIMITED,www.huntsman.com,TS10 4YA,Full accounts,Other chemical products nec
53.62412,-1.86531,GROSVENOR CHEMICALS LIMITED,www.groschems.com,HD7 5QE,Full accounts,"Pesticides, other agrochemical"
54.60309,-1.2706,CAMBRIDGE RESEARCH BIOCHEMICALS LIMITED,www.crbdiscovery.com,TS23 4AZ,Total Exemption Small,Other chemical products nec
53.61461,-0.16372,CRISTAL PIGMENT UK LIMITED,www.cristalglobal.com,DN40 2PR,Full accounts,Other inorganic basic chemicals
54.33291,-1.42171,FARECLA PRODUCTS LIMITED,www.farecla.com,DL6 1AL,Full accounts,Other chemical products nec
53.82067,-1.72382,SIMPSON - TURNER LTD,,BD2 2EE,Total Exemption Small,Glues
53.82857,-1.4625,EUROPEAN PRINTING INKS LIMITED,www.european-printing-inks.co.uk,LS14 1NH,Total Exemption Small,Other chemical products nec
53.80392,-1.65863,VICKERS LABORATORIES LIMITED,www.viclabs.co.uk,LS28 6QW,Total Exemption Small,Other chemical products nec
