latitude,longitude,name,url,postcode,Registered_accounts_type,subactivity
54.57837,-1.23199,UNILEVER UK LIMITED,www.unilever.com,TS1 1HG,Full accounts,"Soap and detergents, cleaning"
53.60907,-1.91147,CREATEYOURSELFDESIGNS LIMITED,,HD7 6LY,Total Exemption Small,Paper stationery
53.69656,-1.76351,BEEHIVE GREETING CARDS LTD,,HD6 1QF,Total Exemption Small,Paper stationery
53.95709,-1.07708,DOODLEDAH LTD,,YO1 9TX,Not Available,Paper stationery
53.80732,-1.63236,BRAMCHEM LTD.,www.bramchem.com,LS13 3BB,Total Exemption Small,"Soap and detergents, cleaning"
54.0003,-1.54166,FLAVORSHOT LIMITED,,HG1 2QS,Not Available,Tobacco products
53.68003,-1.76237,HEARTSTRINGS PUBLICATIONS LIMITED,www.heartstringspublications.com,HD2 1GQ,Total Exemption Small,Paper stationery
53.73145,-1.34638,ARCH UK BIOCIDES LIMITED,www.lonza.com,WF10 2JT,Full accounts,"Soap and detergents, cleaning"
54.60676,-1.28888,IPRINT LTD,www.iprintltd.co.uk,TS23 2LJ,Total Exemption Small,Paper stationery
54.51898,-1.31024,ES-SCENTS LIMITED,,TS17 0XY,Total Exemption Small,Essential oils
53.72211,-1.9468,PORTINSCALE (U.K.) LTD,,HX2 6AD,Not Available,"Soap and detergents, cleaning"
53.89878,-1.71833,DO YOU PUNCTUATE LIMITED,,LS21 3ND,Not Available,Paper stationery
53.7993,-1.5506,BEEVER RETAIL LIMITED,,LS1 2NE,Total Exemption Small,"Perfumes, toilet preparations"
53.80092,-1.70373,UNILEVER UK LIMITED,www.unilever.com,BD3 7AT,Full accounts,"Soap and detergents, cleaning"
53.67842,-1.83297,ZENITH HYGIENE SYSTEMS LIMITED,www.zhgplc.com,HX5 9JP,Full accounts,"Soap and detergents, cleaning"
53.86121,-1.85366,YORKSHIRE PRINT AND PACKAGING SOLUTIONS LIMITED,www.pukka-business-forms.co.uk,BD16 2AG,Small company,Paper stationery
53.64119,-1.52649,SANPRO PRODUCTION LIMITED,www.toiletrysales.com,WF4 3HT,,"Household, sanitary, toilet goods"
53.90729,-1.69147,WILLIAM SINCLAIR & SONS (STATIONERS) LIMITED,www.sinclairsproducts.com,LS21 1AH,Full accounts,Paper stationery
53.71449,-1.85549,GREAT BRITISH VAPE COMPANY LTD,,HX3 9ET,Not Available,Tobacco products
53.76966,-0.97661,LITTLE ACORN DESIGNS LIMITED,,YO8 6QL,Total Exemption Small,Paper stationery
