latitude,longitude,name,url,postcode,Registered_accounts_type,subactivity
53.90846,-1.31868,CHEMDOSE LIMITED,www.chemdose.co.uk,LS23 7FY,Total Exemption Small,"Water collection, treatment, supply"
53.94547,-1.12278,SEWERTECH LTD,,YO24 3AH,Not Available,Sewerage
53.79097,-1.37054,GLISTEN WATER LTD,www.glistenwater.co.uk,LS25 2JD,Total Exemption Small,"Water collection, treatment, supply"
53.70898,-0.7905,SWEETING BROTHERS (LAND DRAINAGE) LIMITED,www.sweetingbrosltd.co.uk,DN14 7YE,Total Exemption Small,"Water collection, treatment, supply"
53.77586,-0.92411,SPALDINGTON RESOURCE RECYCLING LIMITED,,YO8 6ET,Total Exemption Small,"Water collection, treatment, supply"
53.99594,-1.25204,L PHILLISKIRK & SON LTD,www.philliskirkdrainage.co.uk,YO26 8EZ,Total Exemption Small,"Water collection, treatment, supply"
53.67513,-1.66585,WATER HYGIENE SOLUTIONS LTD,www.whs-ltd.com,WF13 3LN,Total Exemption Small,"Water collection, treatment, supply"
54.64897,-1.23361,NORTH EAST WATER SOFTENERS LIMITED,,TS25 5TG,Not Available,"Water collection, treatment, supply"
53.67676,-1.67888,WATER HYGIENE SOLUTIONS LTD,www.whs-ltd.com,WF14 9HU,Total Exemption Small,"Water collection, treatment, supply"
53.55015,-0.81744,OCTOBER HOUSE ENVIRONMENTAL LIMITED,www.legionella-specialist.co.uk,DN9 1NR,Total Exemption Small,"Water collection, treatment, supply"
53.73683,-1.7162,WRAWBY CONTRACTS LIMITED,,BD19 4DN,Total Exemption Small,Sewerage
53.8702,-1.90677,MUSOL LIMITED,www.musol.co.uk,BD21 3BB,Total Exemption Small,"Water collection, treatment, supply"
53.72959,-1.9735,SPRINGHILL WATER SERVICES LIMITED,www.privatewatersupplies.org.uk,HX7 5QQ,Total Exemption Small,"Water collection, treatment, supply"
54.46305,-1.17692,WATERS WASTE SERVICES LTD,www.waterswaste.co.uk,TS9 5JZ,Total Exemption Small,Sewerage
53.77085,-1.54318,LANES GROUP PLC,www.lanesfordrains.co.uk,LS11 5TD,Group,Sewerage
53.76163,-1.58919,SMARTA ENVIRONMENT LIMITED,www.smartaenvironment.com,LS27 7QZ,Total Exemption Small,"Water collection, treatment, supply"
53.70008,-1.52342,DRAINSCAN LIMITED,www.drainscan.co.uk,WF2 0JU,Small company,Sewerage
54.53672,-1.29277,NORTHUMBRIAN WATER LIMITED,www.nwl.co.uk,TS17 0WQ,Full accounts,"Water collection, treatment, supply"
53.60253,-1.80197,LTE DRAINAGE SOLUTIONS LIMITED,,HD9 6GN,Total Exemption Small,Sewerage
53.87828,-0.46224,W3ET LTD,,HU17 7LN,Total Exemption Small,"Water collection, treatment, supply"
53.71967,-0.4594,GDK UTILITIES LTD,,HU13 0LH,Total Exemption Small,"Water collection, treatment, supply"
53.59689,-1.61293,ICE PLUMBING & WATER SERVICES LIMITED,www.iceplumbing.co.uk,HD8 9XJ,Total Exemption Small,"Water collection, treatment, supply"
53.59657,-1.28738,PURE WATER SOLUTIONS (UK) LIMITED,www.purewatersolutions.co.uk,WF9 2TB,Total Exemption Small,"Water collection, treatment, supply"
53.82515,-1.50911,CLEAN FLOW WATER LIMITED,,LS8 4AE,Total Exemption Small,"Water collection, treatment, supply"
53.68475,-1.50488,ANDRASSY PROPERTY SERVICES LIMITED,,WF1 2UP,Total Exemption Small,"Water collection, treatment, supply"
53.75829,-1.78763,YORKSHIRE WATER SERVICES LIMITED,www.yorkshirewater.com,BD6 2SZ,Full accounts,"Water collection, treatment, supply"
53.50861,-1.06957,LEOW LTD,www.leowltd.com,DN4 6PD,Not Available,"Water collection, treatment, supply"
53.77979,-1.50734,YORKSHIRE WATER SERVICES LIMITED,www.yorkshirewater.com,LS9 0PJ,Full accounts,"Water collection, treatment, supply"
53.80264,-1.75586,YORKSHIRE WATER SERVICES LIMITED,www.yorkshirewater.com,BD3 7YD,Full accounts,"Water collection, treatment, supply"
54.57047,-1.25923,WATERCARE MANAGEMENT SERVICES LTD,,TS5 4BE,Total Exemption Small,"Water collection, treatment, supply"
53.79681,-1.37053,EXCEL WATER LIMITED,www.excelwater.co.uk,LS25 2LE,Total Exemption Small,"Water collection, treatment, supply"
53.92769,-1.38551,R & R WATER HYGIENE SERVICES LIMITED,www.sporttek.co.uk,LS22 6LT,Total Exemption Small,"Water collection, treatment, supply"
53.73683,-1.7162,WRAWBY SERVICES LIMITED,www.wrawbyservices.co.uk,BD19 4DN,Total Exemption Small,Sewerage
54.60657,-1.10061,NORTH EAST BATHROOMS & PLUMBING LTD,,TS10 5PD,Total Exemption Full,"Water collection, treatment, supply"
53.99247,-0.91081,ADDED VALUE BUSINESS LIMITED,,YO41 1AD,Total Exemption Small,Sewerage
53.48812,-1.01865,D AND C GILBERT LIMITED,,DN9 3LT,Total Exemption Small,Sewerage
53.81734,-1.96044,WISE COMPLIANCE SOLUTIONS LTD,,BD22 9RS,Not Available,"Water collection, treatment, supply"
53.827208,-1.456819,THAMES WATER UTILITIES LIMITED,www.thameswater.co.uk,LS14 3WP,Full accounts,"Water collection, treatment, supply"
53.75269,-1.53792,THAMES WATER UTILITIES LIMITED,www.thameswater.co.uk,LS10 3QZ,Full accounts,"Water collection, treatment, supply"
53.5938,-1.65351,PRINCIPAL DRAINAGE SERVICES LIMITED,www.principal-drainage.co.uk,HD8 9AU,Total Exemption Small,Sewerage
53.792921,-1.747459,YORKSHIRE WATER SERVICES LIMITED,www.yorkshirewater.com,BD1 5PZ,Full accounts,"Water collection, treatment, supply"
53.64716,-1.04492,WHISPERING MEADOWS LIMITED,,DN14 9FB,Total Exemption Small,Sewerage
53.71113,-1.05341,SNAITH MANAGEMENT (IRRIGATION) LIMITED,,DN14 9PZ,Total Exemption Small,"Water collection, treatment, supply"
53.86374,-1.90239,GREENGATE SPRING LIMITED,www.greengatespring.co.uk,BD21 4QW,Total Exemption Small,"Water collection, treatment, supply"
53.49719,-0.98458,I-DRAINS LIMITED,,DN9 3AT,Total Exemption Small,Sewerage
54.61012,-1.26081,BWT UK LIMITED,www.luxurywater.co.uk,TS23 4JD,Full accounts,"Water collection, treatment, supply"
53.92197,-0.36832,YORKSHIRE WATER SERVICES LIMITED,www.yorkshirewater.com,YO25 9RH,Full accounts,"Water collection, treatment, supply"
54.58779,-1.30718,MARTIN CATTERMOLE PLUMBING & HEATING LTD,,TS20 2SP,Total Exemption Small,"Water collection, treatment, supply"
54.49053,-1.10805,THE AYTON WATER COMPANY LIMITED,,TS9 6HJ,Total Exemption Full,"Water collection, treatment, supply"
53.79102,-1.53367,YORKSHIRE WATER SERVICES LIMITED,www.yorkshirewater.com,LS10 1LJ,Full accounts,"Water collection, treatment, supply"
53.67455,-1.65312,OCMIS LIMITED,www.ocmis.com,WF12 9EF,Total Exemption Small,"Water collection, treatment, supply"
53.87619,-1.15972,MCWILLIAM-WATKINSON LIMITED,www.pips.uk.com,YO23 7BR,Small company,"Water collection, treatment, supply"
53.82007,-1.62373,OCMIS LIMITED,www.ocmis.com,LS13 2LP,Total Exemption Small,"Water collection, treatment, supply"
53.7605,-1.65064,GUY BATLEY COMMERCIAL LIMITED,,BD11 1LU,Total Exemption Small,Sewerage
53.75829,-1.78763,KELDA WATER SERVICES (GRAMPIAN) LIMITED,www.keldawater.co.uk,BD6 2SZ,Full accounts,"Water collection, treatment, supply"
53.85039,-0.43195,YORK VALVES LIMITED,,HU17 7BN,Total Exemption Small,"Water collection, treatment, supply"
54.07017,-2.01894,THRESHFIELD PRIVATE WATER SUPPLY LIMITED,www.threshfieldgarage.co.uk,BD23 5PL,Total Exemption Small,"Water collection, treatment, supply"
53.89256,-0.97554,SKALAR (UK) LIMITED,www.skalar.com,YO19 6NA,Small company,"Water collection, treatment, supply"
53.99124,-1.0954,SPINFLOW LIMITED,www.en.spinflow.de,YO30 4US,Micro-entity accounts,"Water collection, treatment, supply"
53.48817,-1.01211,D AND C GILBERT LIMITED,,DN9 3GA,Total Exemption Small,Sewerage
53.73683,-1.7162,AH CONTRACTING LIMITED,,BD19 4DN,Total Exemption Small,Sewerage
53.75394,-1.59998,JS DRAINAGE SOLUTIONS LTD,,LS27 9SF,Not Available,Sewerage
53.84112,-1.60904,WATER SOLUTIONS (EUROPE) LIMITED,,LS16 6QE,Total Exemption Small,"Water collection, treatment, supply"
54.52173,-1.60575,NORTHUMBRIAN WATER LIMITED,www.nwl.co.uk,DL3 8TF,Full accounts,"Water collection, treatment, supply"
53.66666,-1.50535,PRO-JET DRAINCARE LTD,www.projetdraincare.co.uk,WF2 7AZ,Total Exemption Small,Sewerage
54.01728,-2.25813,RIBBLESDALE COURT (LONG PRESTON) MANAGEMENT COMPANY LIMITED,,BD23 4RD,Total Exemption Small,"Water collection, treatment, supply"
53.73274,-0.36346,FOSSE SERVICES LTD,,HU3 4DL,Total Exemption Small,"Water collection, treatment, supply"
53.71012,-1.85841,ANDANIA CIVIL ENGINEERING SERVICES LTD.,,HX3 0AH,Total Exemption Small,"Water collection, treatment, supply"
53.5345,-0.08794,FREEWATER UK LIMITED,www.freewateruk.co.uk,DN33 2JH,Total Exemption Small,"Water collection, treatment, supply"
53.8132,-1.67319,CLEAN FLOW WATER LIMITED,,LS28 5HY,Total Exemption Small,"Water collection, treatment, supply"
54.556636,-1.30716,DARTEC ENVIRONMENTAL SERVICES LIMITED,,TS17 6SE,Total Exemption Small,"Water collection, treatment, supply"
