latitude,longitude,name,url,post code,company size,subactivity
53.5858,-1.78915,SQUAWK BREWING COMPANY LIMITED,,HD9 3UF,Total Exemption Small,Beer
53.72011,-1.81069,HALIFAX STEAM BREWING COMPANY LIMITED,www.halifax-steam.co.uk,HX3 8EF,Total Exemption Small,Beer
54.26097,-0.92209,MOORSIDE BREWERY LTD,,YO62 6QR,Total Exemption Small,Beer
53.67265,-1.58145,HORBURY ALES LIMITED,,WF5 8LN,Not Available,Beer
53.95837,-1.08177,LITTLE BREW LTD,,YO1 8SU,Micro-entity accounts,Beer
53.92589,-1.82489,GHOST BREWING CO LIMITED,,LS29 9DX,Not Available,Beer
53.68229,-1.10976,GREAT HECK BREWING COMPANY LTD,www.greatheckbrewery.co.uk,DN14 0BQ,Total Exemption Small,Beer
53.68555,-1.83053,ELLAND BREWERY LIMITED,www.ellandbrewery.co.uk,HX5 9AE,Total Exemption Small,Beer
53.97548,-1.56692,BEE-GINERS LIMITED,,HG3 1GY,Not Available,Spirits
53.679401,-1.500734,T&P WEINBAU,,WF1 5PF,Not Available,Wine
53.78159,-1.0618,YDC LTD,,YO8 8BE,Micro-entity accounts,Spirits
53.8503,-1.59283,KIRKSTALL BREWERY COMPANY LIMITED,www.kirkstallbrewerycompany.co.uk,LS16 6AL,Total Exemption Small,Beer
54.06782,-2.27718,DANIEL THWAITES PUBLIC LIMITED COMPANY,http://www.thwaites.co.uk/,BD24 9DU,Group,Beer
54.23114,-1.34488,THE NORTHALLERTON BREWERY LTD,,YO7 1QR,Not Available,Beer
53.8466,-1.63247,ESKIMO JOE'S LIMITED,,LS18 5NT,Total Exemption Small,Soft drinks; waters
53.97767,-1.52956,T PLUS LTD,www.tplusdrinks.com,HG2 8ER,Total Exemption Small,Tea and Coffee
53.55173,-0.49331,WETHERELLS CONTRACTS LIMITED,www.oldmillbrewery.co.uk,DN20 8LD,Total Exemption Small,Beer
53.95745,-1.07635,BREW YORK LIMITED,,YO1 9TT,Micro-entity accounts,Beer
53.99988,-1.50063,DALESIDE BREWERY LIMITED,www.dalesidebrewery.com,HG1 4PT,Total Exemption Full,Beer
53.96534,-1.30647,BREW BASE BREWERY LIMITED,,YO26 7QF,Not Available,Beer
53.88334,-1.27119,MOLSON COORS BREWING COMPANY (UK) LIMITED,www.carling.com,LS24 9JR,Full accounts,Beer
53.73259,-1.60906,SEASONS SOFT DRINKS LIMITED,www.seasonssoftdrinks.co.uk,LS27 0SU,Total Exemption Small,Soft drinks; waters
54.06489,-0.37318,COLEMANS CIDER COMPANY LIMITED,,YO25 4RE,Micro-entity accounts,Cider
53.56446,-1.76242,HERE BE MONSTERS LIMITED,,HD9 1UA,Total Exemption Small,Beer
53.8584,-1.82033,BINGLEY BREWERY LIMITED,,BD16 3DA,Total Exemption Small,Beer
53.83859,-1.76583,SALTAIRE BREWERY LIMITED,www.saltairebrewery.co.uk,BD17 7AR,Total Exemption Small,Beer
53.7186,-0.01837,THE GREAT NEWSOME BREWERY LIMITED,,HU12 0NR,Total Exemption Small,Beer
53.82185,-1.50916,HSK BRANDS LIMITED,,LS8 2ST,Not Available,Soft drinks; waters
54.69639,-1.18345,HEALTHY THIRST DRINKS LIMITED,www.thorncroftdrinks.co.uk,TS24 4SJ,Total Exemption Small,Soft drinks; waters
53.61042,-0.96707,THE LITTLE GIN SHOP LIMITED,,DN8 5UQ,Not Available,Spirits
53.84605,-1.95639,NIGHTOWL BREWING COMPANY LTD,,BD22 7PG,Not Available,Beer
53.57408,-1.73413,FRUITY TIPPLES LIMITED,,HD9 7DH,Total Exemption Small,Spirits
53.7228,-0.57524,CRYSTALBREW LIMITED,,HU15 1EQ,Total Exemption Small,Beer
54.06567,-2.28139,SETTLE BREWING COMPANY LIMITED,www.settlebrewery.co.uk,BD24 9RP,Total Exemption Small,Beer
53.84744,-1.56011,SORY ENTREPRISE LTD,,LS17 5JS,Not Available,Tea and Coffee
53.83796,-1.63885,NEWBREW COMPANY LTD,,LS18 4TJ,Total Exemption Small,Beer
53.80649,-1.79094,HIJAMA RUQYA REMEDIES LTD,,BD9 5HQ,Not Available,"Fruit, vegetable juice"
53.84301,-1.51821,BARFORD IMPORTS LIMITED,,LS8 1AG,Total Exemption Small,Spirits
53.83631,-1.78824,FANNY'S DISTILLING COMPANY LIMITED,,BD18 3JN,Total Exemption Small,Spirits
54.56923,-1.30686,GEORGE BATEMAN & SON LIMITED,www.bateman.co.uk,TS18 2HA,Full accounts,Beer
53.63013,-1.8802,ZAPATO BREWERY LTD.,,HD7 5DA,Total Exemption Small,Beer
54.0036,-1.49258,THE SPIRITED DRINKS COMPANY LTD,,HG2 7TF,Not Available,Spirits
53.61344,-1.90558,DARK WOODS COFFEE LTD,www.darkwoodscoffee.co.uk,HD7 6LS,Total Exemption Small,Tea and Coffee
53.78329,-0.40587,LIBERTY GIN LIMITED,,HU16 4LU,Not Available,Spirits
53.72728,-2.1165,EAGLES CRAG BREWERY LTD,,OL14 8HP,Not Available,Beer
54.09615,-0.20296,TWISTED ROOTS DISTILLERY LTD,,YO16 7AE,Not Available,Spirits
