latitude,longitude,name,url,post.code,company.size
53.69242,-1.029069,WETHERELLS CONTRACTS LIMITED,www.oldmillbrewery.co.uk,DN14 9HU,Total Exemption Small
53.78347,-1.06802,WETHERELLS CONTRACTS LIMITED,www.oldmillbrewery.co.uk,YO8 4PD,Total Exemption Small
53.62086,-1.88635,EMPIRE BREWING LTD,www.empirebrewing.com,HD7 5HA,Total Exemption Small
53.73702,-1.87192,OATES BREWING COMPANY LIMITED,www.oatesbrewing.co.uk,HX3 6TA,Total Exemption Small
53.58983,-1.2805,CHIN CHIN BREWING COMPANY LTD,,WF9 2WJ,Not Available
53.85889,-1.91546,TIMOTHY TAYLOR & CO.,LIMITED,www.timothytaylor.co.uk,BD21 1AW,Full accounts
53.54888,-1.31425,UNDER THE STAIRS BREWERY LTD,,S63 0LL,Micro-entity accounts
53.71503,-1.38699,THE REVOLUTIONS BREWING COMPANY LIMITED,www.revolutionsbrewing.co.uk,WF10 5PX,Total Exemption Small
53.90546,-1.41503,COLLINGHAM ALES LTD,,LS22 5AA,Total Exemption Full
54.59557,-1.5639,STEAM MACHINE BREWING COMPANY LTD,,DL5 6JP,Total Exemption Small
53.79073,-1.55336,NORTHERN MONK BREWING CO. LTD,www.northernmonkbrewco.com,LS11 9YJ,Total Exemption Small
54.22459,-1.65811,THE BLACK SHEEP BREWERY PLC,www.blacksheepbrewery.co.uk,HG4 4EN,Full accounts
53.96534,-1.30647,RUDGATE BREWERY LIMITED,www.rudgatebrewery.co.uk,YO26 7QF,Total Exemption Small
53.64833,-1.7815,LUDDITE BREWING COMPANY LIMITED,,HD1 1PA,Not Available
53.82777,-1.90082,OLD SPOT BREWERY LIMITED,www.oldspotbrewery.com,BD13 5HN,Total Exemption Small
53.98774,-2.11078,COPPER DRAGON BREWERY LIMITED,,BD23 3PW,Not Available
54.62818,-1.35534,CONSETT ALE WORKS LIMITED,,TS22 5SH,Micro-entity accounts
53.74417,-2.08217,HEBDEN BRIDGE BREWING COMPANY LIMITED,,HX7 7JB,Total Exemption Small
53.7389,-0.20022,ULLAGE ALE LTD,,HU12 8HE,Not Available
53.93038,-0.7775,BONE MACHINE BREWING COMPANY LIMITED,,YO42 2PX,Not Available
53.73586,-2.04691,THE SLIGHTLY FOXED BREWING COMPANY LIMITED,,HX7 6PS,Total Exemption Small
53.49429,-1.2934,WETHERELLS CONTRACTS LIMITED,www.oldmillbrewery.co.uk,S64 9DW,Total Exemption Small
53.64494,-1.49258,ANNUITY ALES LIMITED,,WF2 6DD,Total Exemption Full
54.48882,-0.60626,WHITBY BREWERY LTD,www.whitby-brewery.com,YO22 4JR,Micro-entity accounts
53.79832,-1.50324,NOMADIC BREWING COMPANY LTD,,LS9 9ES,Not Available
54.46778,-1.19591,JAMES HERRIOT BREWERY LTD,,TS9 5BL,Not Available
53.79297,-1.54113,CARLSBERG UK LIMITED,www.carlsberg.co.uk,LS10 1JQ,Full accounts
54.5298,-1.56623,SAINTS ROW BREWING CO. LTD.,,DL3 6RR,Not Available
53.78785,-1.07248,SELBY (MIDDLEBROUGH) BREWERY,LIMITED,,YO8 3LL,Total Exemption Small
53.90427,-1.98782,NAYLOR'S BREWERY LTD,www.naylorsbrewery.co.uk,BD20 7DT,Total Exemption Small
53.85453,-1.91568,GOOSE EYE BREWERY LIMITED,www.goose-eye-brewery.co.uk,BD21 5AX,Total Exemption Small
54.32939,-1.8259,WENSLEYDALE BREWERY (2013) LIMITED,www.wensleydalebrewery.co.uk,DL8 5QH,Total Exemption Small
54.11775,-0.12347,TROUGH BREWERY LIMITED,,YO15 1JX,Not Available
54.27796,-0.42674,ASYLUM HARBOUR BREWING CO LTD,,YO12 5BU,Total Exemption Small
53.71863,-1.87302,NORLAND BEERS LTD,,HX1 1EB,Total Exemption Small
53.61835,-1.7989,THE BOSUN'S BREWING COMPANY LIMITED,,HD4 7NR,Total Exemption Small
53.88177,-1.9243,DENT BREWERY LIMITED,www.dentbrewery.co.uk,BD20 6HN,Total Exemption Small
53.74691,-0.86214,BIRD BRAIN BREWERY LTD,,DN14 7SL,Total Exemption Small
54.00924,-1.47325,ROOSTERS BREWERY LIMITED,www.mksm-engineering.com,HG5 9AZ,Total Exemption Small
53.47231,-1.25412,HILLTOP BREWING COMPANY LIMITED,,DN12 2AY,Not Available
54.00312,-0.43457,AUSTINSMICROBREWERY LIMITED,,YO25 6PZ,Total Exemption Small
54.24539,-0.77588,GREAT BRITISH BREWORKS LTD,,YO18 7AL,Not Available
53.88236,-1.26414,HEINEKEN UK LIMITED,www.heineken.co.uk,LS24 9SA,Full accounts
53.64665,-0.74707,AXHOLME BREWING COMPANY LIMITED,,DN17 4QT,Total Exemption Small
53.6408,-1.86072,GOLCAR BREWERY LIMITED,www.golcarbrewery.co.uk,HD7 4NB,Total Exemption Small
54.26683,-0.42093,SCARBOROUGH BREWERY LIMITED,www.scarboroughbrewery.co.uk,YO12 4HA,Total Exemption Small
54.13473,-1.40356,BREWING AND DISTILLING COMPANY LIMITED,www.wearebad.co,YO7 3DH,Micro-entity accounts
53.52863,-1.12318,DONCASTER BREWERY LIMITED,www.doncasterlimousine.co.uk,DN1 2NR,Total Exemption Small
54.68162,-1.21275,CAMERONS BREWERY LIMITED,www.cameronsbrewery.com,TS24 7QS,Group
53.86134,-0.37902,CHEQUERS MICROPUB LIMITED,,HU17 9RH,Total Exemption Small
53.8201,-1.6343,ZAPATO BREWERY LTD.,,LS13 1EY,Total Exemption Small
54.51184,-1.32879,ROUNDHILL BREWERY LIMITED,,TS17 5HD,Not Available
53.92475,-1.80103,WHARFEDALE BREWERY LIMITED,,LS29 8QH,Total Exemption Full
53.828,-1.53763,NORTH BREWING COMPANY LIMITED,www.cflnorth.co.uk,LS7 3PD,Total Exemption Small
53.59123,-1.68701,SMALL WORLD BEERS LTD,www.smallworldbeers.com,HD8 8LU,Total Exemption Full
54.57331,-1.20534,TRUEFITT BREWING COMPANY LTD,,TS3 6QL,Total Exemption Small
53.92712,-0.95356,THE HOP STUDIO LIMITED,www.thehopstudio.com,YO41 4AR,Total Exemption Full
54.27987,-0.40347,NORTH RIDING BREWERY LIMITED,,YO11 2JT,Total Exemption Small
54.31397,-1.81945,YORKSHIRE DALES BREWING COMPANY LIMITED,,DL8 5GA,Total Exemption Small
54.15867,-0.35216,WOLD TOPPERS LIMITED,www.woldtopbrewery.co.uk,YO25 3HS,Total Exemption Small
53.66788,-1.59038,OSSETT BREWING COMPANY LIMITED,www.ossett-brewery.co.uk,WF5 8ND,Total Exemption Small
53.54988,-1.47497,GEEVES BREWERY LIMITED,,S70 1TL,Total Exemption Small
53.64842,-1.52428,MORTON COLLINS BREWING COMPANY LTD,,WF4 3BX,Not Available
53.95698,-1.09027,THE YORK BREWERY CO. LTD.,www.york-brewery.co.uk,YO1 6JT,
53.78361,-1.81979,WISHBONE BREWERY LIMITED,,BD14 6AZ,Total Exemption Small
53.78918,-1.56664,THE LEEDS BREWERY COMPANY LIMITED,www.leedsbrewery.co.uk,LS11 9RU,Total Exemption Small
53.55294,-1.48654,THE ILKLEY BREWERY COMPANY LIMITED,www.ilkleybrewery.co.uk,S70 2SB,Total Exemption Small
53.795874,-1.75438,BRADFORD BREWERY LIMITED,www.bradfordbrewery.com,BD1 3QS,Micro-entity accounts
54.49792,-1.57492,SCHOOLHOUSEBREWERY LTD,,DL2 2SD,Total Exemption Small
53.85275,-1.05152,BRASS CASTLE BREWERY LIMITED,,YO19 6ED,Total Exemption Small
53.69591,-1.99222,LITTLE VALLEY BREWERY LIMITED,www.littlevalleybrewery.co.uk,HX7 5TT,Total Exemption Small
