latitude,longitude,name,url,postcode,subactivity
53.75937,-1.42589,SWILLINGTON ORGANIC FARM LIMITED,,LS26 8QA,Pigs
53.67032,-0.08563,MICHAEL OSGERBY (AGRICULTURE) LIMITED,,HU12 0DY,Pigs
53.83557,-0.80731,K.K. HUDDLESTON & SONS LIMITED,,YO43 4HB,Pigs
53.98473,-0.32399,PITWHERRY LIMITED,,YO25 8BJ,Pigs
54.54703,-0.7997,M  & K HODGSON LTD,,TS13 5EN,Pigs
53.92549,-0.90606,T.E. ALMOND (FARMS) LIMITED,,YO41 4BY,Pigs
53.66341,-1.09375,D H WELBURN FARMING LIMITED,,DN14 0ES,Pigs
53.75846,-0.65275,S J PANTON LIMITED,,HU15 2EB,Pigs
53.87519,-0.83512,MELROSE PIGS LIMITED,,YO42 4SS,Pigs
53.93582,-0.78077,T.E. ALMOND (FARMS) LIMITED,,YO42 2HS,Pigs
54.03174,-1.17159,SHEDDEN FARMS LIMITED,,YO30 1AP,Pigs
53.76337,-0.07372,YORKWOLD PIGPRO LIMITED,,HU12 0LP,Pigs
54.23994,-0.73145,HALL FARMING LIMITED,,YO18 7LX,Pigs
53.76347,-0.10638,YORKWOLD PIGPRO LIMITED,,HU12 9AX,Pigs
53.77872,-1.4025,BRECKS FARM LIMITED,,LS26 8BY,Pigs
54.09768,-1.71245,KINGSTONE FARMS LIMITED,,HG3 5EP,Pigs
53.76186,-0.78809,FRD CONTRACTING LTD,,DN14 7QQ,Pigs
54.44731,-1.08808,BONDSOUND LIMITED,,TS9 6LP,Pigs
54.07962,-1.18418,LAWN PIGS LIMITED,,YO61 1JE,Pigs
53.97576,-0.49257,J.S.R. GENETICS LIMITED,,YO25 9ED,Pigs
54.12717,-0.83072,WILD PORK LIMITED,,YO17 6TD,Pigs
54.02357,-0.66663,FRIDAYTHORPE PIG PRODUCERS LIMITED,,YO25 9RU,Pigs
54.5349,-1.05222,COLLINSON PIG FARM LIMITED,,TS14 6QD,Pigs
54.14848,-1.50381,S P METCALFE LTD,,HG4 5DT,Pigs
53.74989,-0.48547,A & M FARMS LIMITED,,HU14 3QZ,Pigs
53.74477,-1.74811,ASHFIELD PIGGERIES LTD,,BD12 7HP,Pigs
