latitude,longitude,name,url,postcode,Registered_accounts_type
53.78582,-1.78409,SHAIKH'S QUALITY FOODS LTD,www.shaikhsqualityfoods.co.uk,BD7 2HD,Total Exemption Small
53.77615,-0.33642,CRANSWICK CONVENIENCE FOODS LIMITED,www.cranswick.co.uk,HU7 0YW,Full accounts
53.79653,-1.79508,FARMERS BOY LIMITED,www.morrisonsplc.co.uk,BD8 9RU,Full accounts
53.70625,-1.38792,FORZA FOODS LIMITED,www.ipl-ltd.com,WF6 1TN,Full accounts
53.76773,-1.84331,NUTRITION WORX LIMITED,,BD13 1QA,Not Available
53.86865,-0.95062,PINFOLD PIES LTD,,YO19 6DA,Not Available
53.79213,-1.54494,KOBER LIMITED,,LS11 5AD,Full accounts
53.71727,-1.84133,PETER GRADON MEAT AND POULTRY MARKETING LIMITED,www.gradons.uk.com,HX3 9NR,Full accounts
53.67842,-1.83297,CRANSWICK CONVENIENCE FOODS LIMITED,www.cranswick.co.uk,HX5 9JP,Full accounts
53.99998,-0.46238,SAM BROWNE FOODS LIMITED,www.sambrownefoods.co.uk,YO25 9DJ,Total Exemption Small
53.68647,-1.57324,PETER'S FOOD SERVICE LIMITED,www.petersfood.co.uk,WF5 9JD,Full accounts
53.69611,-1.77227,THE LITTLE YORKSHIRE PIE COMPANY LTD,,HD6 1NA,Total Exemption Small
54.07418,-1.62764,GILMOOR FOODS LIMITED,,HG3 3LE,Not Available
53.79507,-1.72624,B1 POULTRY LIMITED,,BD3 9NP,Total Exemption Small
53.72211,-1.9468,CHEROKEE FOODS LIMITED,www.cherokeefood.co.uk,HX2 6AD,Total Exemption Small
53.75074,-1.58665,HB ABATTOIR SERVICES LIMITED,www.harderbros.com,LS27 8EX,Full accounts
53.77615,-0.33642,WEETON FOODS LIMITED,www.cranswick.co.uk,HU7 0YW,Full accounts
53.75074,-1.58665,HARDER BROS. LIMITED,www.harderbros.com,LS27 8EX,Group
53.53852,-1.04495,CRANSWICK CONVENIENCE FOODS LIMITED,www.cranswick.co.uk,DN3 3EB,Full accounts
