latitude,longitude,name,url,postcode,Registered_accounts_type
53.75074,-1.58665,VALLEY CO PRODUCTS LIMITED,www.harderbros.com,LS27 8EX,Full accounts
54.03057,-1.67107,TRAINING PARTNER NUTRITION LIMITED,,HG3 2PP,Not Available
54.59942,-1.26392,FRUTAROM (UK) LIMITED,www.frutarom.com,TS23 1LQ,Full accounts
53.6681,-1.78079,PINOS FOODS LTD,,HD2 2RB,Not Available
53.82009,-1.72307,LOVE BITES LIMITED,www.love-bites.co.uk,BD2 2EF,Total Exemption Small
53.86569,-1.68682,THE OATCAKE FACTORY LIMITED,,LS19 7EW,Total Exemption Small
53.77489,-0.33894,MAURI PRODUCTS LIMITED,www.abmauri.com,HU7 0XW,Full accounts
53.8318,-1.71065,SNACKWORLD ENTERPRISES LIMITED,,BD10 0RA,Not Available
53.84623,-1.68917,NATURE'S TONICS LIMITED,,LS19 6LL,Not Available
54.47999,-1.21944,NOBLE FOODS LIMITED,www.noblefoods.co.uk,TS9 5NQ,Full accounts
53.93535,-0.40064,KEYSTREAM LIMITED,www.j-marr.co.uk,YO25 9RE,Small company
54.5871,-1.24972,CAFE CLASS LTD,www.cafeclass.co.uk,TS2 1RN,Total Exemption Small
53.62595,-1.86054,NATURES AID LTD,www.naturesaid.co.uk,HD7 5QH,Medium Company
54.33401,-0.76538,LOADED TABLE LIMITED,,YO18 8HX,Not Available
53.96534,-1.30647,COUNTRY PRODUCTS LTD,www.countryproducts.co.uk,YO26 7QF,Total Exemption Small
53.65045,-1.79075,PROPER NUTTY LIMITED,,HD1 5LS,Total Exemption Small
53.679401,-1.500734,SEUSSFINEST LTD.,,WF1 5PF,Not Available
53.73244,-1.53482,TOSDAY LIMITED,,WF3 2FN,Total Exemption Small
54.04389,-0.69662,RAISTHORPE MANOR FINE FOODS LTD,www.raisthorpemanor.com,YO17 9TF,Total Exemption Small
54.13651,-1.52299,T APPLETON & SON LIMITED,,HG4 1BP,Total Exemption Small
53.80519,-1.76207,THORNTON FOODS LIMITED,,BD8 7DD,Not Available
54.06004,-0.258079,BEE HEALTH LIMITED,www.beehealth.com,YO15 3QY,Full accounts
54.44703,-1.1581,HUNGRYSCARECROW LIMITED,,TS9 7HF,Not Available
53.79728,-1.55489,CARDIUM PRODUCTS LIMITED,,LS1 2TW,Not Available
53.55755,-0.02532,TURNERS NEWS & FOODS LIMITED,www.lifestyle-express.co.uk,DN35 8EU,Total Exemption Small
53.77887,-1.76336,IKRA CATERING LTD,,BD5 7PA,Micro-entity accounts
53.59436,-0.65531,SURMA SECRET SPICES LIMITED,,DN15 7NH,Total Exemption Small
53.81055,-1.51599,ANAND FOODS LIMITED,,LS8 5BY,Not Available
53.77869,-0.34138,SARANT LTD,www.sarant.co.uk,HU7 0YG,Full accounts
53.978235,-1.065381,NESTLE UK LTD.,www.nestle.co.uk,YO91 1XY,Full accounts
54.58246,-0.992,SILVER LINING NUTRITION LTD,,TS12 1QU,Micro-entity accounts
53.79427,-1.79978,DALE MEAT PROCESSING LTD,,BD8 0HR,Not Available
53.45267,-0.1288,THE BIG DIP LIMITED,www.dipsociety.com,LN8 6BP,Total Exemption Small
53.77473,-0.33349,RIVA FOODS LIMITED,www.rivafoods.co.uk,HU7 0XQ,Small company
53.64274,-1.78954,GOLDENGATE FOODS LIMITED,www.crustypie.co.uk,HD1 2NX,Total Exemption Small
53.77466,-1.5039,DANIELS CHILLED FOODS LIMITED,www.danielschilledfoods.co.uk,LS10 1RW,Full accounts
53.736628,-0.697942,ESSENTIAL NUTRITION LIMITED,www.essentialnutrition.co.uk,HU15 1EF,Total Exemption Small
54.08625,-0.20052,WOLDGATE HONEY LTD,,YO16 4JB,Total Exemption Small
54.63242,-1.31463,PASTA (U.K.) LIMITED,www.pasta-uk.co.uk,TS22 5TB,Total Exemption Small
53.74432,-1.75685,MARRDS LTD,,BD12 9HL,Not Available
53.58995,-1.30994,ICECO LIMITED,www.theiceco.co.uk,WF9 3AP,Small company
53.72594,-1.34598,THOMAS FAWCETT & SONS,LIMITED,www.fawcett-maltsters.co.uk,WF10 4LE,Full accounts
54.58561,-1.25666,ON A ROLL SANDWICH COMPANY LIMITED,www.onarollsandwich.co.uk,TS2 1RY,
53.80802,-1.53037,LIME TREE FOODS LIMITED,www.sandwichkinguk.com,LS7 1RF,Total Exemption Small
53.77456,-1.54126,SPEEDBOAT ACQUISITIONCO LIMITED,,LS11 5JL,Full accounts
53.65704,-1.8293,PENNINE FOOD INGREDIENTS LIMITED,www.penninefoods.co.uk,HD3 3PA,Total Exemption Small
53.72993,-0.37922,AUNT BESSIE'S LIMITED,www.auntbessies.co.uk,HU3 4UW,Full accounts
53.679401,-1.500734,ARISTAIOUS OIL LIMITED,,WF1 5PF,Micro-entity accounts
53.85026,-1.64193,MATTHEW FOODS LIMITED,,LS18 5HG,Total Exemption Small
53.97722,-1.52225,DOTS OF FUN LIMITED,,HG2 8QT,Full accounts
53.8053,-1.68815,HALAL CATERING SUPPLIES LTD,,LS28 7TQ,Total Exemption Small
53.92099,-1.80714,YORKSHIRE FLOWER ESSENCES LTD,,LS29 8SL,Not Available
53.77353,-1.58688,TROY FOODS LIMITED,www.troyfoods.co.uk,LS12 6DX,Full accounts
53.58995,-1.30994,KEYSTREAM LIMITED,www.j-marr.co.uk,WF9 3AP,Small company
53.97536,-1.52933,BUILDING BLOCK FOODS LIMITED,,HG2 8EB,Not Available
53.79078,-1.44208,GREEN ASH TREE LIMITED,www.theprepbox.com,LS15 9AQ,Total Exemption Small
53.79474,-1.42981,CALBEE (UK) LTD,www.calbee.co.uk,LS15 8ZA,Full accounts
53.61767,-0.94939,GO2 FOODS LIMITED,,DN8 5JS,Group
54.23188,-0.37895,THE KLEVER FOOD COMPANY LIMITED,,YO11 3TJ,Not Available
53.72519,-0.50442,SEVEN SEAS HEALTHCARE LIMITED,,HU14 3JT,Not Available
53.6702,-1.88746,BICKIEPEGS HEALTHCARE LTD,www.bickiepegs.com,HX4 9PQ,Total Exemption Small
53.97722,-1.52225,ZUBRANCE LIMITED,www.zubrance.co.uk,HG2 8QT,Group
53.72519,-1.8781,SCOFFERS (YORKSHIRE) LIMITED,,HX1 5PG,Total Exemption Small
54.0649,-1.58546,JUST FOOD INTERNATIONAL LTD,,HG3 3BF,Total Exemption Small
53.84404,-1.5434,YORKSHIRE MORE,,LS17 6AZ,Micro-entity accounts
53.77869,-0.34138,HUMDINGER LIMITED,www.humdinger-foods.co.uk,HU7 0YG,Full accounts
53.97127,-1.0776,NESTLE UK LTD.,www.nestle.co.uk,YO31 8JP,Full accounts
53.74297,-0.33774,OIL PRESERVATION TECHNOLOGIES LIMITED,,HU1 2LD,Total Exemption Small
53.58484,-0.13268,SCRATCH MEALS LTD,www.mealsfromscratch.co.uk,DN37 9TZ,Total Exemption Small
53.81561,-1.55619,WOODHOUSE COMMUNITY GROWERS LTD,,LS6 2HN,Micro-entity accounts
53.53732,-0.09181,GREEN GOURMET LIMITED,www.greengourmet.co.uk,DN33 2EW,Medium Company
